,index,source,target,weight,counts
576,576,Melania Trump,Ivanka Trump,1,2
577,577,Melania Trump,Donald Trump Jr.,1,2
578,578,Melania Trump,Eric Trump,1,2
579,579,Melania Trump,Dan Scavino,1,1
580,580,Melania Trump,Jared Kushner,1,1
581,581,Melania Trump,Jason Miller,1,1
582,582,Melania Trump,Jim Jordan,1,2
583,583,Melania Trump,Lara Trump,1,2
584,584,Melania Trump,Mark Meadows,1,4
585,585,Melania Trump,Tiffany Trump,1,4
586,586,Melania Trump,Kimberly Guilfoyle,1,2
587,587,Melania Trump,Robert O'Brien,1,1
588,588,Hope Hicks,Bill Stepien,1,1
589,589,Hope Hicks,Stephen Miller,1,3
590,590,Hope Hicks,Ivanka Trump,1,1
591,591,Hope Hicks,Donald Trump Jr.,1,1
592,592,Hope Hicks,Eric Trump,1,1
593,593,Hope Hicks,Dan Scavino,1,3
594,594,Hope Hicks,Jared Kushner,1,2
595,595,Hope Hicks,Jason Miller,1,2
596,596,Hope Hicks,Jim Jordan,1,1
597,597,Hope Hicks,Lara Trump,1,1
598,598,Hope Hicks,Mark Meadows,1,3
599,599,Hope Hicks,Tiffany Trump,1,1
600,600,Hope Hicks,Kimberly Guilfoyle,1,1
601,601,Hope Hicks,Robert O'Brien,1,1
602,602,Bill Stepien,Stephen Miller,1,1
603,603,Bill Stepien,Ivanka Trump,1,1
604,604,Bill Stepien,Donald Trump Jr.,1,1
605,605,Bill Stepien,Eric Trump,1,1
606,606,Bill Stepien,Dan Scavino,1,1
607,607,Bill Stepien,Jared Kushner,1,1
608,608,Bill Stepien,Jason Miller,1,1
609,609,Bill Stepien,Jim Jordan,1,1
610,610,Bill Stepien,Lara Trump,1,1
611,611,Bill Stepien,Mark Meadows,1,1
612,612,Bill Stepien,Tiffany Trump,1,1
613,613,Bill Stepien,Kimberly Guilfoyle,1,1
614,614,Bill Stepien,Robert O'Brien,1,1
615,615,Stephen Miller,Ivanka Trump,1,1
616,616,Stephen Miller,Donald Trump Jr.,1,1
617,617,Stephen Miller,Eric Trump,1,1
618,618,Stephen Miller,Dan Scavino,1,2
619,619,Stephen Miller,Jared Kushner,1,2
620,620,Stephen Miller,Jason Miller,1,1
621,621,Stephen Miller,Jim Jordan,1,1
622,622,Stephen Miller,Lara Trump,1,1
623,623,Stephen Miller,Mark Meadows,1,2
624,624,Stephen Miller,Tiffany Trump,1,1
625,625,Stephen Miller,Kimberly Guilfoyle,1,1
626,626,Stephen Miller,Robert O'Brien,1,1
627,627,Ivanka Trump,Donald Trump Jr.,1,2
628,628,Ivanka Trump,Eric Trump,1,2
629,629,Ivanka Trump,Dan Scavino,1,1
630,630,Ivanka Trump,Jared Kushner,1,1
631,631,Ivanka Trump,Jason Miller,1,1
632,632,Ivanka Trump,Jim Jordan,1,2
633,633,Ivanka Trump,Lara Trump,1,1
634,634,Ivanka Trump,Mark Meadows,1,2
635,635,Ivanka Trump,Tiffany Trump,1,2
636,636,Ivanka Trump,Kimberly Guilfoyle,1,2
637,637,Ivanka Trump,Robert O'Brien,1,1
638,638,Donald Trump Jr.,Eric Trump,1,1
639,639,Donald Trump Jr.,Dan Scavino,1,1
640,640,Donald Trump Jr.,Jared Kushner,1,1
641,641,Donald Trump Jr.,Jason Miller,1,1
642,642,Donald Trump Jr.,Jim Jordan,1,2
643,643,Donald Trump Jr.,Lara Trump,1,1
644,644,Donald Trump Jr.,Mark Meadows,1,2
645,645,Donald Trump Jr.,Tiffany Trump,1,2
646,646,Donald Trump Jr.,Kimberly Guilfoyle,1,2
647,647,Donald Trump Jr.,Robert O'Brien,1,1
648,648,Eric Trump,Dan Scavino,1,1
649,649,Eric Trump,Jared Kushner,1,1
650,650,Eric Trump,Jason Miller,1,1
651,651,Eric Trump,Jim Jordan,1,2
652,652,Eric Trump,Lara Trump,1,1
653,653,Eric Trump,Mark Meadows,1,2
654,654,Eric Trump,Tiffany Trump,1,2
655,655,Eric Trump,Kimberly Guilfoyle,1,2
656,656,Eric Trump,Robert O'Brien,1,1
657,657,Dan Scavino,Jared Kushner,1,1
658,658,Dan Scavino,Jason Miller,1,2
659,659,Dan Scavino,Jim Jordan,1,1
660,660,Dan Scavino,Lara Trump,1,1
661,661,Dan Scavino,Mark Meadows,1,2
662,662,Dan Scavino,Tiffany Trump,1,1
663,663,Dan Scavino,Kimberly Guilfoyle,1,1
664,664,Dan Scavino,Robert O'Brien,1,1
665,665,Jared Kushner,Jason Miller,1,1
666,666,Jared Kushner,Jim Jordan,1,1
667,667,Jared Kushner,Lara Trump,1,1
668,668,Jared Kushner,Mark Meadows,1,2
669,669,Jared Kushner,Tiffany Trump,1,1
670,670,Jared Kushner,Kimberly Guilfoyle,1,1
671,671,Jared Kushner,Robert O'Brien,1,1
672,672,Jason Miller,Jim Jordan,1,1
673,673,Jason Miller,Lara Trump,1,1
674,674,Jason Miller,Mark Meadows,1,1
675,675,Jason Miller,Tiffany Trump,1,1
676,676,Jason Miller,Kimberly Guilfoyle,1,1
677,677,Jason Miller,Robert O'Brien,1,1
678,678,Jim Jordan,Lara Trump,1,1
679,679,Jim Jordan,Mark Meadows,1,1
680,680,Jim Jordan,Tiffany Trump,1,2
681,681,Jim Jordan,Kimberly Guilfoyle,1,2
682,682,Jim Jordan,Robert O'Brien,1,1
683,683,Lara Trump,Mark Meadows,1,2
684,684,Lara Trump,Tiffany Trump,1,2
685,685,Lara Trump,Kimberly Guilfoyle,1,2
686,686,Lara Trump,Robert O'Brien,1,1
687,687,Mark Meadows,Tiffany Trump,1,4
688,688,Mark Meadows,Kimberly Guilfoyle,1,2
689,689,Mark Meadows,Robert O'Brien,1,1
690,690,Tiffany Trump,Kimberly Guilfoyle,1,2
691,691,Tiffany Trump,Robert O'Brien,1,1
692,692,Kimberly Guilfoyle,Robert O'Brien,1,1
693,693,Donald Trump,Melania Trump,1,5
694,694,Donald Trump,Kayleigh McEnany,1,6
695,695,Donald Trump,Joe Biden,1,1
696,696,Donald Trump,Chris Wallace,1,1
697,697,Donald Trump,Jill Biden,1,1
698,698,Donald Trump,Rudolph Giuliani,1,3
699,699,Donald Trump,Lara Trump,1,2
700,700,Donald Trump,Ivanka Trump,1,2
701,701,Donald Trump,Eric Trump,1,2
702,702,Donald Trump,Donald Trump Jr.,1,2
703,703,Donald Trump,Mark Meadows,1,7
704,704,Donald Trump,Jim Jordan,1,2
705,705,Donald Trump,Tiffany Trump,1,5
706,706,Donald Trump,Kimberly Guilfoyle,1,2
707,707,Melania Trump,Kayleigh McEnany,1,3
708,708,Melania Trump,Joe Biden,1,1
709,709,Melania Trump,Chris Wallace,1,1
710,710,Melania Trump,Jill Biden,1,1
711,711,Melania Trump,Rudolph Giuliani,1,1
712,712,Melania Trump,Lara Trump,1,2
713,713,Melania Trump,Ivanka Trump,1,2
714,714,Melania Trump,Eric Trump,1,2
715,715,Melania Trump,Donald Trump Jr.,1,2
716,716,Melania Trump,Mark Meadows,1,4
717,717,Melania Trump,Jim Jordan,1,2
718,718,Melania Trump,Tiffany Trump,1,4
719,719,Melania Trump,Kimberly Guilfoyle,1,2
720,720,Kayleigh McEnany,Joe Biden,1,1
721,721,Kayleigh McEnany,Chris Wallace,1,1
722,722,Kayleigh McEnany,Jill Biden,1,1
723,723,Kayleigh McEnany,Rudolph Giuliani,1,2
724,724,Kayleigh McEnany,Lara Trump,1,1
725,725,Kayleigh McEnany,Ivanka Trump,1,1
726,726,Kayleigh McEnany,Eric Trump,1,1
727,727,Kayleigh McEnany,Donald Trump Jr.,1,1
728,728,Kayleigh McEnany,Mark Meadows,1,3
729,729,Kayleigh McEnany,Jim Jordan,1,1
730,730,Kayleigh McEnany,Tiffany Trump,1,2
731,731,Kayleigh McEnany,Kimberly Guilfoyle,1,1
732,732,Joe Biden,Chris Wallace,1,1
733,733,Joe Biden,Jill Biden,1,1
734,734,Joe Biden,Rudolph Giuliani,1,1
735,735,Joe Biden,Lara Trump,1,1
736,736,Joe Biden,Ivanka Trump,1,1
737,737,Joe Biden,Eric Trump,1,1
738,738,Joe Biden,Donald Trump Jr.,1,1
739,739,Joe Biden,Mark Meadows,1,1
740,740,Joe Biden,Jim Jordan,1,1
741,741,Joe Biden,Tiffany Trump,1,1
742,742,Joe Biden,Kimberly Guilfoyle,1,1
743,743,Chris Wallace,Jill Biden,1,1
744,744,Chris Wallace,Rudolph Giuliani,1,1
745,745,Chris Wallace,Lara Trump,1,1
746,746,Chris Wallace,Ivanka Trump,1,1
747,747,Chris Wallace,Eric Trump,1,1
748,748,Chris Wallace,Donald Trump Jr.,1,1
749,749,Chris Wallace,Mark Meadows,1,1
750,750,Chris Wallace,Jim Jordan,1,1
751,751,Chris Wallace,Tiffany Trump,1,1
752,752,Chris Wallace,Kimberly Guilfoyle,1,1
753,753,Jill Biden,Rudolph Giuliani,1,1
754,754,Jill Biden,Lara Trump,1,1
755,755,Jill Biden,Ivanka Trump,1,1
756,756,Jill Biden,Eric Trump,1,1
757,757,Jill Biden,Donald Trump Jr.,1,1
758,758,Jill Biden,Mark Meadows,1,1
759,759,Jill Biden,Jim Jordan,1,1
760,760,Jill Biden,Tiffany Trump,1,1
761,761,Jill Biden,Kimberly Guilfoyle,1,1
762,762,Rudolph Giuliani,Lara Trump,1,1
763,763,Rudolph Giuliani,Ivanka Trump,1,1
764,764,Rudolph Giuliani,Eric Trump,1,1
765,765,Rudolph Giuliani,Donald Trump Jr.,1,1
766,766,Rudolph Giuliani,Mark Meadows,1,1
767,767,Rudolph Giuliani,Jim Jordan,1,1
768,768,Rudolph Giuliani,Tiffany Trump,1,1
769,769,Rudolph Giuliani,Kimberly Guilfoyle,1,1
770,770,Lara Trump,Ivanka Trump,1,1
771,771,Lara Trump,Eric Trump,1,1
772,772,Lara Trump,Donald Trump Jr.,1,1
773,773,Lara Trump,Mark Meadows,1,2
774,774,Lara Trump,Jim Jordan,1,1
775,775,Lara Trump,Tiffany Trump,1,2
776,776,Lara Trump,Kimberly Guilfoyle,1,2
777,777,Ivanka Trump,Eric Trump,1,2
778,778,Ivanka Trump,Donald Trump Jr.,1,2
779,779,Ivanka Trump,Mark Meadows,1,2
780,780,Ivanka Trump,Jim Jordan,1,2
781,781,Ivanka Trump,Tiffany Trump,1,2
782,782,Ivanka Trump,Kimberly Guilfoyle,1,2
783,783,Eric Trump,Donald Trump Jr.,1,1
784,784,Eric Trump,Mark Meadows,1,2
785,785,Eric Trump,Jim Jordan,1,2
786,786,Eric Trump,Tiffany Trump,1,2
787,787,Eric Trump,Kimberly Guilfoyle,1,2
788,788,Donald Trump Jr.,Mark Meadows,1,2
789,789,Donald Trump Jr.,Jim Jordan,1,2
790,790,Donald Trump Jr.,Tiffany Trump,1,2
791,791,Donald Trump Jr.,Kimberly Guilfoyle,1,2
792,792,Mark Meadows,Jim Jordan,1,1
793,793,Mark Meadows,Tiffany Trump,1,4
794,794,Mark Meadows,Kimberly Guilfoyle,1,2
795,795,Jim Jordan,Tiffany Trump,1,2
796,796,Jim Jordan,Kimberly Guilfoyle,1,2
797,797,Tiffany Trump,Kimberly Guilfoyle,1,2
798,798,Donald Trump,Steven Mnuchin,1,1
799,799,Donald Trump,Mark Meadows,1,7
800,800,Steven Mnuchin,Mark Meadows,1,1
801,801,Donald Trump,Hope Hicks,1,4
802,802,Donald Trump,Nicholas Luna,1,1
803,803,Donald Trump,Kayleigh McEnany,1,6
804,804,Donald Trump,Stephen Miller,1,3
805,805,Donald Trump,Jared Kushner,1,3
806,806,Donald Trump,Dan Scavino,1,4
807,807,Donald Trump,Mark Meadows,1,7
808,808,Hope Hicks,Nicholas Luna,1,1
809,809,Hope Hicks,Kayleigh McEnany,1,1
810,810,Hope Hicks,Stephen Miller,1,3
811,811,Hope Hicks,Jared Kushner,1,2
812,812,Hope Hicks,Dan Scavino,1,3
813,813,Hope Hicks,Mark Meadows,1,3
814,814,Nicholas Luna,Kayleigh McEnany,1,1
815,815,Nicholas Luna,Stephen Miller,1,1
816,816,Nicholas Luna,Jared Kushner,1,1
817,817,Nicholas Luna,Dan Scavino,1,1
818,818,Nicholas Luna,Mark Meadows,1,1
819,819,Kayleigh McEnany,Stephen Miller,1,1
820,820,Kayleigh McEnany,Jared Kushner,1,1
821,821,Kayleigh McEnany,Dan Scavino,1,2
822,822,Kayleigh McEnany,Mark Meadows,1,3
823,823,Stephen Miller,Jared Kushner,1,2
824,824,Stephen Miller,Dan Scavino,1,2
825,825,Stephen Miller,Mark Meadows,1,2
826,826,Jared Kushner,Dan Scavino,1,1
827,827,Jared Kushner,Mark Meadows,1,2
828,828,Dan Scavino,Mark Meadows,1,2
