,index,source,target,weight,counts
133,133,Amy Coney Barrett,Deb Fischer,1,2
134,134,Mark Meadows,William Barr,1,1
135,135,Mark Meadows,Alex Azar,1,1
136,136,Mark Meadows,Josh Hawley,1,2
137,137,Mark Meadows,Kelly Loeffler,1,2
138,138,Mark Meadows,Ben Sasse,1,2
139,139,Mark Meadows,Pat Cipollone,1,2
140,140,Mark Meadows,Tiffany Trump,1,4
141,141,Mark Meadows,Marsha Blackburn,1,2
142,142,Mark Meadows,Mike Crapo,1,2
143,143,Mark Meadows,Deb Fischer,1,2
144,144,William Barr,Alex Azar,1,1
145,145,William Barr,Josh Hawley,1,2
146,146,William Barr,Kelly Loeffler,1,2
147,147,William Barr,Ben Sasse,1,2
148,148,William Barr,Pat Cipollone,1,2
149,149,William Barr,Tiffany Trump,1,2
150,150,William Barr,Marsha Blackburn,1,2
151,151,William Barr,Mike Crapo,1,2
152,152,William Barr,Deb Fischer,1,2
153,153,Alex Azar,Josh Hawley,1,1
154,154,Alex Azar,Kelly Loeffler,1,1
155,155,Alex Azar,Ben Sasse,1,1
156,156,Alex Azar,Pat Cipollone,1,1
157,157,Alex Azar,Tiffany Trump,1,1
158,158,Alex Azar,Marsha Blackburn,1,1
159,159,Alex Azar,Mike Crapo,1,1
160,160,Alex Azar,Deb Fischer,1,1
161,161,Josh Hawley,Kelly Loeffler,1,2
162,162,Josh Hawley,Ben Sasse,1,1
163,163,Josh Hawley,Pat Cipollone,1,2
164,164,Josh Hawley,Tiffany Trump,1,2
165,165,Josh Hawley,Marsha Blackburn,1,2
166,166,Josh Hawley,Mike Crapo,1,2
167,167,Josh Hawley,Deb Fischer,1,2
168,168,Kelly Loeffler,Ben Sasse,1,1
169,169,Kelly Loeffler,Pat Cipollone,1,2
170,170,Kelly Loeffler,Tiffany Trump,1,2
171,171,Kelly Loeffler,Marsha Blackburn,1,2
172,172,Kelly Loeffler,Mike Crapo,1,2
173,173,Kelly Loeffler,Deb Fischer,1,2
174,174,Ben Sasse,Pat Cipollone,1,2
175,175,Ben Sasse,Tiffany Trump,1,2
176,176,Ben Sasse,Marsha Blackburn,1,2
177,177,Ben Sasse,Mike Crapo,1,2
178,178,Ben Sasse,Deb Fischer,1,2
179,179,Pat Cipollone,Tiffany Trump,1,2
180,180,Pat Cipollone,Marsha Blackburn,1,2
181,181,Pat Cipollone,Mike Crapo,1,2
182,182,Pat Cipollone,Deb Fischer,1,2
183,183,Tiffany Trump,Marsha Blackburn,1,2
184,184,Tiffany Trump,Mike Crapo,1,2
185,185,Tiffany Trump,Deb Fischer,1,2
186,186,Marsha Blackburn,Mike Crapo,1,2
187,187,Marsha Blackburn,Deb Fischer,1,2
188,188,Mike Crapo,Deb Fischer,1,2
189,189,Donald Trump,Melania Trump,1,5
190,190,Donald Trump,Mike Lee,1,2
191,191,Donald Trump,John Jenkins,1,2
192,192,Donald Trump,Kellyanne Conway,1,1
193,193,Donald Trump,Thom Tillis,1,2
194,194,Donald Trump,Chris Christie,1,4
195,195,Donald Trump,Greg Laurie,1,1
196,196,Donald Trump,Chad Gilmartin,1,1
197,197,Donald Trump,Karoline Leavitt,1,1
198,198,Donald Trump,Kayleigh McEnany,1,6
199,199,Donald Trump,Al Drago,1,2
200,200,Donald Trump,Amy Coney Barrett,1,2
201,201,Donald Trump,William Barr,1,2
202,202,Donald Trump,Mike Pence,1,4
203,203,Donald Trump,Karen Pence,1,2
204,204,Donald Trump,Mark Meadows,1,7
205,205,Donald Trump,Ben Sasse,1,2
206,206,Donald Trump,Josh Hawley,1,2
207,207,Donald Trump,Kelly Loeffler,1,3
208,208,Donald Trump,Pat Cipollone,1,2
209,209,Donald Trump,Tiffany Trump,1,5
210,210,Donald Trump,Marsha Blackburn,1,2
211,211,Donald Trump,Mike Crapo,1,2
212,212,Donald Trump,Deb Fischer,1,2
213,213,Melania Trump,Mike Lee,1,2
214,214,Melania Trump,John Jenkins,1,2
215,215,Melania Trump,Kellyanne Conway,1,1
216,216,Melania Trump,Thom Tillis,1,2
217,217,Melania Trump,Chris Christie,1,2
218,218,Melania Trump,Greg Laurie,1,1
219,219,Melania Trump,Chad Gilmartin,1,1
220,220,Melania Trump,Karoline Leavitt,1,1
221,221,Melania Trump,Kayleigh McEnany,1,3
222,222,Melania Trump,Al Drago,1,1
223,223,Melania Trump,Amy Coney Barrett,1,2
224,224,Melania Trump,William Barr,1,2
225,225,Melania Trump,Mike Pence,1,2
226,226,Melania Trump,Karen Pence,1,2
227,227,Melania Trump,Mark Meadows,1,4
228,228,Melania Trump,Ben Sasse,1,2
229,229,Melania Trump,Josh Hawley,1,2
230,230,Melania Trump,Kelly Loeffler,1,2
231,231,Melania Trump,Pat Cipollone,1,2
232,232,Melania Trump,Tiffany Trump,1,4
233,233,Melania Trump,Marsha Blackburn,1,2
234,234,Melania Trump,Mike Crapo,1,2
235,235,Melania Trump,Deb Fischer,1,2
236,236,Mike Lee,John Jenkins,1,2
237,237,Mike Lee,Kellyanne Conway,1,1
238,238,Mike Lee,Thom Tillis,1,1
239,239,Mike Lee,Chris Christie,1,1
240,240,Mike Lee,Greg Laurie,1,1
241,241,Mike Lee,Chad Gilmartin,1,1
242,242,Mike Lee,Karoline Leavitt,1,1
243,243,Mike Lee,Kayleigh McEnany,1,1
244,244,Mike Lee,Al Drago,1,1
245,245,Mike Lee,Amy Coney Barrett,1,2
246,246,Mike Lee,William Barr,1,2
247,247,Mike Lee,Mike Pence,1,1
248,248,Mike Lee,Karen Pence,1,1
249,249,Mike Lee,Mark Meadows,1,2
250,250,Mike Lee,Ben Sasse,1,2
251,251,Mike Lee,Josh Hawley,1,2
252,252,Mike Lee,Kelly Loeffler,1,2
253,253,Mike Lee,Pat Cipollone,1,2
254,254,Mike Lee,Tiffany Trump,1,2
255,255,Mike Lee,Marsha Blackburn,1,2
256,256,Mike Lee,Mike Crapo,1,2
257,257,Mike Lee,Deb Fischer,1,2
258,258,John Jenkins,Kellyanne Conway,1,1
259,259,John Jenkins,Thom Tillis,1,1
260,260,John Jenkins,Chris Christie,1,1
261,261,John Jenkins,Greg Laurie,1,1
262,262,John Jenkins,Chad Gilmartin,1,1
263,263,John Jenkins,Karoline Leavitt,1,1
264,264,John Jenkins,Kayleigh McEnany,1,1
265,265,John Jenkins,Al Drago,1,1
266,266,John Jenkins,Amy Coney Barrett,1,2
267,267,John Jenkins,William Barr,1,2
268,268,John Jenkins,Mike Pence,1,1
269,269,John Jenkins,Karen Pence,1,1
270,270,John Jenkins,Mark Meadows,1,2
271,271,John Jenkins,Ben Sasse,1,2
272,272,John Jenkins,Josh Hawley,1,2
273,273,John Jenkins,Kelly Loeffler,1,2
274,274,John Jenkins,Pat Cipollone,1,2
275,275,John Jenkins,Tiffany Trump,1,2
276,276,John Jenkins,Marsha Blackburn,1,2
277,277,John Jenkins,Mike Crapo,1,2
278,278,John Jenkins,Deb Fischer,1,2
279,279,Kellyanne Conway,Thom Tillis,1,1
280,280,Kellyanne Conway,Chris Christie,1,1
281,281,Kellyanne Conway,Greg Laurie,1,1
282,282,Kellyanne Conway,Chad Gilmartin,1,1
283,283,Kellyanne Conway,Karoline Leavitt,1,1
284,284,Kellyanne Conway,Kayleigh McEnany,1,1
285,285,Kellyanne Conway,Al Drago,1,1
286,286,Kellyanne Conway,Amy Coney Barrett,1,1
287,287,Kellyanne Conway,William Barr,1,1
288,288,Kellyanne Conway,Mike Pence,1,1
289,289,Kellyanne Conway,Karen Pence,1,1
290,290,Kellyanne Conway,Mark Meadows,1,1
291,291,Kellyanne Conway,Ben Sasse,1,1
292,292,Kellyanne Conway,Josh Hawley,1,1
293,293,Kellyanne Conway,Kelly Loeffler,1,1
294,294,Kellyanne Conway,Pat Cipollone,1,1
295,295,Kellyanne Conway,Tiffany Trump,1,1
296,296,Kellyanne Conway,Marsha Blackburn,1,1
297,297,Kellyanne Conway,Mike Crapo,1,1
298,298,Kellyanne Conway,Deb Fischer,1,1
299,299,Thom Tillis,Chris Christie,1,1
300,300,Thom Tillis,Greg Laurie,1,1
301,301,Thom Tillis,Chad Gilmartin,1,1
302,302,Thom Tillis,Karoline Leavitt,1,1
303,303,Thom Tillis,Kayleigh McEnany,1,1
304,304,Thom Tillis,Al Drago,1,1
305,305,Thom Tillis,Amy Coney Barrett,1,2
306,306,Thom Tillis,William Barr,1,2
307,307,Thom Tillis,Mike Pence,1,1
308,308,Thom Tillis,Karen Pence,1,1
309,309,Thom Tillis,Mark Meadows,1,2
310,310,Thom Tillis,Ben Sasse,1,2
311,311,Thom Tillis,Josh Hawley,1,2
312,312,Thom Tillis,Kelly Loeffler,1,2
313,313,Thom Tillis,Pat Cipollone,1,2
314,314,Thom Tillis,Tiffany Trump,1,2
315,315,Thom Tillis,Marsha Blackburn,1,2
316,316,Thom Tillis,Mike Crapo,1,2
317,317,Thom Tillis,Deb Fischer,1,2
318,318,Chris Christie,Greg Laurie,1,1
319,319,Chris Christie,Chad Gilmartin,1,1
320,320,Chris Christie,Karoline Leavitt,1,1
321,321,Chris Christie,Kayleigh McEnany,1,1
