index,source,target,weight,counts
351,Greg Laurie,Mike Crapo,1,1
350,Greg Laurie,Marsha Blackburn,1,1
349,Greg Laurie,Tiffany Trump,1,1
348,Greg Laurie,Pat Cipollone,1,1
347,Greg Laurie,Kelly Loeffler,1,1
346,Greg Laurie,Josh Hawley,1,1
345,Greg Laurie,Ben Sasse,1,1
344,Greg Laurie,Mark Meadows,1,1
343,Greg Laurie,Karen Pence,1,1
342,Greg Laurie,Mike Pence,1,1
341,Greg Laurie,William Barr,1,1
366,Chad Gilmartin,Marsha Blackburn,1,1
367,Chad Gilmartin,Mike Crapo,1,1
368,Chad Gilmartin,Deb Fischer,1,1
382,Karoline Leavitt,Mike Crapo,1,1
398,Al Drago,Amy Coney Barrett,1,1
397,Kayleigh McEnany,Deb Fischer,1,1
396,Kayleigh McEnany,Mike Crapo,1,1
395,Kayleigh McEnany,Marsha Blackburn,1,1
393,Kayleigh McEnany,Pat Cipollone,1,1
392,Kayleigh McEnany,Kelly Loeffler,1,1
391,Kayleigh McEnany,Josh Hawley,1,1
390,Kayleigh McEnany,Ben Sasse,1,1
386,Kayleigh McEnany,William Barr,1,1
385,Kayleigh McEnany,Amy Coney Barrett,1,1
383,Karoline Leavitt,Deb Fischer,1,1
381,Karoline Leavitt,Marsha Blackburn,1,1
369,Karoline Leavitt,Kayleigh McEnany,1,1
380,Karoline Leavitt,Tiffany Trump,1,1
379,Karoline Leavitt,Pat Cipollone,1,1
378,Karoline Leavitt,Kelly Loeffler,1,1
377,Karoline Leavitt,Josh Hawley,1,1
376,Karoline Leavitt,Ben Sasse,1,1
375,Karoline Leavitt,Mark Meadows,1,1
374,Karoline Leavitt,Karen Pence,1,1
373,Karoline Leavitt,Mike Pence,1,1
372,Karoline Leavitt,William Barr,1,1
371,Karoline Leavitt,Amy Coney Barrett,1,1
370,Karoline Leavitt,Al Drago,1,1
340,Greg Laurie,Amy Coney Barrett,1,1
338,Greg Laurie,Kayleigh McEnany,1,1
400,Al Drago,Mike Pence,1,1
337,Greg Laurie,Karoline Leavitt,1,1
295,Kellyanne Conway,Tiffany Trump,1,1
294,Kellyanne Conway,Pat Cipollone,1,1
293,Kellyanne Conway,Kelly Loeffler,1,1
292,Kellyanne Conway,Josh Hawley,1,1
291,Kellyanne Conway,Ben Sasse,1,1
290,Kellyanne Conway,Mark Meadows,1,1
289,Kellyanne Conway,Karen Pence,1,1
288,Kellyanne Conway,Mike Pence,1,1
287,Kellyanne Conway,William Barr,1,1
286,Kellyanne Conway,Amy Coney Barrett,1,1
285,Kellyanne Conway,Al Drago,1,1
284,Kellyanne Conway,Kayleigh McEnany,1,1
283,Kellyanne Conway,Karoline Leavitt,1,1
282,Kellyanne Conway,Chad Gilmartin,1,1
281,Kellyanne Conway,Greg Laurie,1,1
280,Kellyanne Conway,Chris Christie,1,1
279,Kellyanne Conway,Thom Tillis,1,1
258,John Jenkins,Kellyanne Conway,1,1
259,John Jenkins,Thom Tillis,1,1
260,John Jenkins,Chris Christie,1,1
261,John Jenkins,Greg Laurie,1,1
262,John Jenkins,Chad Gilmartin,1,1
263,John Jenkins,Karoline Leavitt,1,1
269,John Jenkins,Karen Pence,1,1
268,John Jenkins,Mike Pence,1,1
296,Kellyanne Conway,Marsha Blackburn,1,1
297,Kellyanne Conway,Mike Crapo,1,1
298,Kellyanne Conway,Deb Fischer,1,1
320,Chris Christie,Karoline Leavitt,1,1
336,Greg Laurie,Chad Gilmartin,1,1
237,Mike Lee,Kellyanne Conway,1,1
238,Mike Lee,Thom Tillis,1,1
239,Mike Lee,Chris Christie,1,1
240,Mike Lee,Greg Laurie,1,1
326,Chris Christie,Karen Pence,1,1
325,Chris Christie,Mike Pence,1,1
241,Mike Lee,Chad Gilmartin,1,1
242,Mike Lee,Karoline Leavitt,1,1
243,Mike Lee,Kayleigh McEnany,1,1
321,Chris Christie,Kayleigh McEnany,1,1
319,Chris Christie,Chad Gilmartin,1,1
299,Thom Tillis,Chris Christie,1,1
318,Chris Christie,Greg Laurie,1,1
244,Mike Lee,Al Drago,1,1
247,Mike Lee,Mike Pence,1,1
248,Mike Lee,Karen Pence,1,1
308,Thom Tillis,Karen Pence,1,1
307,Thom Tillis,Mike Pence,1,1
304,Thom Tillis,Al Drago,1,1
303,Thom Tillis,Kayleigh McEnany,1,1
302,Thom Tillis,Karoline Leavitt,1,1
301,Thom Tillis,Chad Gilmartin,1,1
300,Thom Tillis,Greg Laurie,1,1
399,Al Drago,William Barr,1,1
401,Al Drago,Karen Pence,1,1
599,Hope Hicks,Tiffany Trump,1,1
503,Hope Hicks,Rudolph Giuliani,1,1
545,Mike Pence,Robert Ford,1,1
544,Mike Pence,Brett Giroir,1,1
543,Mike Pence,Betsy DeVos,1,1
542,Mike Pence,Alex Azar,1,1
541,Donald Trump,Tate Reeves,1,1
540,Donald Trump,Robert Ford,1,1
539,Donald Trump,Brett Giroir,1,1
538,Donald Trump,Betsy DeVos,1,1
134,Mark Meadows,William Barr,1,1
535,Rob Portman,Mike Turner,1,1
534,Peter Navarro,Mike Turner,1,1
533,Peter Navarro,Rob Portman,1,1
532,Donald Trump,Mike Turner,1,1
531,Donald Trump,Rob Portman,1,1
530,Donald Trump,Peter Navarro,1,1
135,Mark Meadows,Alex Azar,1,1
528,Charles Ray,Karen Pence,1,1
527,Charles Ray,Mike Pence,1,1
524,Kayleigh McEnany,Charles Ray,1,1
521,Melania Trump,Charles Ray,1,1
517,Donald Trump,Charles Ray,1,1
144,William Barr,Alex Azar,1,1
514,Al Drago,Rudolph Giuliani,1,1
509,Kayleigh McEnany,Chris Christie,1,1
153,Alex Azar,Josh Hawley,1,1
546,Mike Pence,Tate Reeves,1,1
264,John Jenkins,Kayleigh McEnany,1,1
548,Alex Azar,Brett Giroir,1,1
575,Melania Trump,Stephen Miller,1,1
597,Hope Hicks,Lara Trump,1,1
596,Hope Hicks,Jim Jordan,1,1
592,Hope Hicks,Eric Trump,1,1
591,Hope Hicks,Donald Trump Jr.,1,1
590,Hope Hicks,Ivanka Trump,1,1
588,Hope Hicks,Bill Stepien,1,1
587,Melania Trump,Robert O'Brien,1,1
114,John Jenkins,Alex Azar,1,1
581,Melania Trump,Jason Miller,1,1
580,Melania Trump,Jared Kushner,1,1
579,Melania Trump,Dan Scavino,1,1
574,Melania Trump,Bill Stepien,1,1
549,Alex Azar,Robert Ford,1,1
573,Melania Trump,Hope Hicks,1,1
572,Donald Trump,Robert O'Brien,1,1
125,Amy Coney Barrett,Alex Azar,1,1
559,Donald Trump,Bill Stepien,1,1
556,Robert Ford,Tate Reeves,1,1
555,Brett Giroir,Tate Reeves,1,1
554,Brett Giroir,Robert Ford,1,1
553,Betsy DeVos,Tate Reeves,1,1
552,Betsy DeVos,Robert Ford,1,1
551,Betsy DeVos,Brett Giroir,1,1
550,Alex Azar,Tate Reeves,1,1
504,Stephen Miller,Rudolph Giuliani,1,1
154,Alex Azar,Kelly Loeffler,1,1
402,Al Drago,Mark Meadows,1,1
155,Alex Azar,Ben Sasse,1,1
442,Mike Pence,Mike Crapo,1,1
441,Mike Pence,Marsha Blackburn,1,1
440,Mike Pence,Tiffany Trump,1,1
439,Mike Pence,Pat Cipollone,1,1
438,Mike Pence,Kelly Loeffler,1,1
437,Mike Pence,Josh Hawley,1,1
436,Mike Pence,Ben Sasse,1,1
425,William Barr,Mark Meadows,1,1
424,William Barr,Karen Pence,1,1
423,William Barr,Mike Pence,1,1
215,Melania Trump,Kellyanne Conway,1,1
218,Melania Trump,Greg Laurie,1,1
219,Melania Trump,Chad Gilmartin,1,1
220,Melania Trump,Karoline Leavitt,1,1
222,Melania Trump,Al Drago,1,1
413,Amy Coney Barrett,Karen Pence,1,1
412,Amy Coney Barrett,Mike Pence,1,1
410,Al Drago,Deb Fischer,1,1
409,Al Drago,Mike Crapo,1,1
408,Al Drago,Marsha Blackburn,1,1
407,Al Drago,Tiffany Trump,1,1
406,Al Drago,Pat Cipollone,1,1
405,Al Drago,Kelly Loeffler,1,1
404,Al Drago,Josh Hawley,1,1
403,Al Drago,Ben Sasse,1,1
443,Mike Pence,Deb Fischer,1,1
444,Karen Pence,Mark Meadows,1,1
445,Karen Pence,Ben Sasse,1,1
168,Kelly Loeffler,Ben Sasse,1,1
500,Chris Christie,Stephen Miller,1,1
499,Chris Christie,Hope Hicks,1,1
156,Alex Azar,Pat Cipollone,1,1
157,Alex Azar,Tiffany Trump,1,1
158,Alex Azar,Marsha Blackburn,1,1
159,Alex Azar,Mike Crapo,1,1
494,Michael Shear,Dan Scavino,1,1
160,Alex Azar,Deb Fischer,1,1
492,Kayleigh McEnany,Michael Shear,1,1
490,Donald Trump,Michael Shear,1,1
162,Josh Hawley,Ben Sasse,1,1
462,Ben Sasse,Kelly Loeffler,1,1
446,Karen Pence,Josh Hawley,1,1
461,Ben Sasse,Josh Hawley,1,1
192,Donald Trump,Kellyanne Conway,1,1
195,Donald Trump,Greg Laurie,1,1
196,Donald Trump,Chad Gilmartin,1,1
197,Donald Trump,Karoline Leavitt,1,1
452,Karen Pence,Deb Fischer,1,1
451,Karen Pence,Mike Crapo,1,1
450,Karen Pence,Marsha Blackburn,1,1
449,Karen Pence,Tiffany Trump,1,1
448,Karen Pence,Pat Cipollone,1,1
447,Karen Pence,Kelly Loeffler,1,1
547,Alex Azar,Betsy DeVos,1,1
