index,source,target,weight,counts
323,Chris Christie,Amy Coney Barrett,1,2
324,Chris Christie,William Barr,1,2
327,Chris Christie,Mark Meadows,1,2
388,Kayleigh McEnany,Karen Pence,1,2
419,Amy Coney Barrett,Tiffany Trump,1,2
418,Amy Coney Barrett,Pat Cipollone,1,2
417,Amy Coney Barrett,Kelly Loeffler,1,2
416,Amy Coney Barrett,Josh Hawley,1,2
824,Stephen Miller,Dan Scavino,1,2
415,Amy Coney Barrett,Ben Sasse,1,2
411,Amy Coney Barrett,William Barr,1,2
394,Kayleigh McEnany,Tiffany Trump,1,2
825,Stephen Miller,Mark Meadows,1,2
387,Kayleigh McEnany,Mike Pence,1,2
328,Chris Christie,Ben Sasse,1,2
384,Kayleigh McEnany,Al Drago,1,2
335,Chris Christie,Deb Fischer,1,2
827,Jared Kushner,Mark Meadows,1,2
334,Chris Christie,Mike Crapo,1,2
333,Chris Christie,Marsha Blackburn,1,2
332,Chris Christie,Tiffany Trump,1,2
331,Chris Christie,Pat Cipollone,1,2
330,Chris Christie,Kelly Loeffler,1,2
329,Chris Christie,Josh Hawley,1,2
482,Pat Cipollone,Deb Fischer,1,2
485,Tiffany Trump,Deb Fischer,1,2
484,Tiffany Trump,Mike Crapo,1,2
712,Melania Trump,Lara Trump,1,2
646,Donald Trump Jr.,Kimberly Guilfoyle,1,2
645,Donald Trump Jr.,Tiffany Trump,1,2
644,Donald Trump Jr.,Mark Meadows,1,2
642,Donald Trump Jr.,Jim Jordan,1,2
636,Ivanka Trump,Kimberly Guilfoyle,1,2
635,Ivanka Trump,Tiffany Trump,1,2
634,Ivanka Trump,Mark Meadows,1,2
632,Ivanka Trump,Jim Jordan,1,2
628,Ivanka Trump,Eric Trump,1,2
627,Ivanka Trump,Donald Trump Jr.,1,2
623,Stephen Miller,Mark Meadows,1,2
619,Stephen Miller,Jared Kushner,1,2
618,Stephen Miller,Dan Scavino,1,2
723,Kayleigh McEnany,Rudolph Giuliani,1,2
595,Hope Hicks,Jason Miller,1,2
594,Hope Hicks,Jared Kushner,1,2
730,Kayleigh McEnany,Tiffany Trump,1,2
586,Melania Trump,Kimberly Guilfoyle,1,2
773,Lara Trump,Mark Meadows,1,2
775,Lara Trump,Tiffany Trump,1,2
583,Melania Trump,Lara Trump,1,2
651,Eric Trump,Jim Jordan,1,2
653,Eric Trump,Mark Meadows,1,2
654,Eric Trump,Tiffany Trump,1,2
690,Tiffany Trump,Kimberly Guilfoyle,1,2
704,Donald Trump,Jim Jordan,1,2
713,Melania Trump,Ivanka Trump,1,2
702,Donald Trump,Donald Trump Jr.,1,2
701,Donald Trump,Eric Trump,1,2
700,Donald Trump,Ivanka Trump,1,2
699,Donald Trump,Lara Trump,1,2
714,Melania Trump,Eric Trump,1,2
715,Melania Trump,Donald Trump Jr.,1,2
717,Melania Trump,Jim Jordan,1,2
688,Mark Meadows,Kimberly Guilfoyle,1,2
655,Eric Trump,Kimberly Guilfoyle,1,2
719,Melania Trump,Kimberly Guilfoyle,1,2
685,Lara Trump,Kimberly Guilfoyle,1,2
684,Lara Trump,Tiffany Trump,1,2
683,Lara Trump,Mark Meadows,1,2
681,Jim Jordan,Kimberly Guilfoyle,1,2
680,Jim Jordan,Tiffany Trump,1,2
668,Jared Kushner,Mark Meadows,1,2
661,Dan Scavino,Mark Meadows,1,2
658,Dan Scavino,Jason Miller,1,2
582,Melania Trump,Jim Jordan,1,2
578,Melania Trump,Eric Trump,1,2
577,Melania Trump,Donald Trump Jr.,1,2
790,Donald Trump Jr.,Tiffany Trump,1,2
786,Eric Trump,Tiffany Trump,1,2
787,Eric Trump,Kimberly Guilfoyle,1,2
513,Chris Christie,Rudolph Giuliani,1,2
512,Chris Christie,Al Drago,1,2
511,Kayleigh McEnany,Rudolph Giuliani,1,2
510,Kayleigh McEnany,Al Drago,1,2
788,Donald Trump Jr.,Mark Meadows,1,2
507,Donald Trump,Al Drago,1,2
789,Donald Trump Jr.,Jim Jordan,1,2
791,Donald Trump Jr.,Kimberly Guilfoyle,1,2
519,Donald Trump,Karen Pence,1,2
501,Chris Christie,Rudolph Giuliani,1,2
794,Mark Meadows,Kimberly Guilfoyle,1,2
795,Jim Jordan,Tiffany Trump,1,2
796,Jim Jordan,Kimberly Guilfoyle,1,2
797,Tiffany Trump,Kimberly Guilfoyle,1,2
493,Kayleigh McEnany,Dan Scavino,1,2
488,Mike Crapo,Deb Fischer,1,2
487,Marsha Blackburn,Deb Fischer,1,2
486,Marsha Blackburn,Mike Crapo,1,2
785,Eric Trump,Jim Jordan,1,2
784,Eric Trump,Mark Meadows,1,2
576,Melania Trump,Ivanka Trump,1,2
561,Donald Trump,Ivanka Trump,1,2
571,Donald Trump,Kimberly Guilfoyle,1,2
776,Lara Trump,Kimberly Guilfoyle,1,2
777,Ivanka Trump,Eric Trump,1,2
568,Donald Trump,Lara Trump,1,2
567,Donald Trump,Jim Jordan,1,2
566,Donald Trump,Jason Miller,1,2
778,Ivanka Trump,Donald Trump Jr.,1,2
563,Donald Trump,Eric Trump,1,2
562,Donald Trump,Donald Trump Jr.,1,2
779,Ivanka Trump,Mark Meadows,1,2
782,Ivanka Trump,Kimberly Guilfoyle,1,2
780,Ivanka Trump,Jim Jordan,1,2
266,John Jenkins,Amy Coney Barrett,1,2
537,Donald Trump,Alex Azar,1,2
781,Ivanka Trump,Tiffany Trump,1,2
529,Mike Pence,Karen Pence,1,2
526,Kayleigh McEnany,Karen Pence,1,2
525,Kayleigh McEnany,Mike Pence,1,2
523,Melania Trump,Karen Pence,1,2
522,Melania Trump,Mike Pence,1,2
267,John Jenkins,William Barr,1,2
414,Amy Coney Barrett,Mark Meadows,1,2
828,Dan Scavino,Mark Meadows,1,2
181,Pat Cipollone,Mike Crapo,1,2
82,Chris Christie,Mike Crapo,1,2
83,Chris Christie,Deb Fischer,1,2
199,Donald Trump,Al Drago,1,2
193,Donald Trump,Thom Tillis,1,2
191,Donald Trump,John Jenkins,1,2
190,Donald Trump,Mike Lee,1,2
188,Mike Crapo,Deb Fischer,1,2
187,Marsha Blackburn,Deb Fischer,1,2
186,Marsha Blackburn,Mike Crapo,1,2
185,Tiffany Trump,Deb Fischer,1,2
184,Tiffany Trump,Mike Crapo,1,2
183,Tiffany Trump,Marsha Blackburn,1,2
182,Pat Cipollone,Deb Fischer,1,2
180,Pat Cipollone,Marsha Blackburn,1,2
80,Chris Christie,Tiffany Trump,1,2
179,Pat Cipollone,Tiffany Trump,1,2
178,Ben Sasse,Deb Fischer,1,2
177,Ben Sasse,Mike Crapo,1,2
176,Ben Sasse,Marsha Blackburn,1,2
175,Ben Sasse,Tiffany Trump,1,2
174,Ben Sasse,Pat Cipollone,1,2
173,Kelly Loeffler,Deb Fischer,1,2
172,Kelly Loeffler,Mike Crapo,1,2
171,Kelly Loeffler,Marsha Blackburn,1,2
170,Kelly Loeffler,Tiffany Trump,1,2
169,Kelly Loeffler,Pat Cipollone,1,2
167,Josh Hawley,Deb Fischer,1,2
166,Josh Hawley,Mike Crapo,1,2
81,Chris Christie,Marsha Blackburn,1,2
