,ppl,date,event,combination,source_abb,target_abb,abbrev_x,source,abbrev_y,target,weight
223,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('MT', 'ACB')",MT,ACB,MT,Melania Trump,ACB,Amy Coney Barrett,1
224,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('MT', 'WB')",MT,WB,MT,Melania Trump,WB,William Barr,1
225,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('MT', 'MP')",MT,MP,MT,Melania Trump,MP,Mike Pence,1
226,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('MT', 'KP')",MT,KP,MT,Melania Trump,KP,Karen Pence,1
227,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('MT', 'MM')",MT,MM,MT,Melania Trump,MM,Mark Meadows,1
228,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('MT', 'BS')",MT,BS,MT,Melania Trump,BS,Ben Sasse,1
229,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('MT', 'JH')",MT,JH,MT,Melania Trump,JH,Josh Hawley,1
230,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('MT', 'KL')",MT,KL,MT,Melania Trump,KL,Kelly Loeffler,1
231,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('MT', 'PC')",MT,PC,MT,Melania Trump,PC,Pat Cipollone,1
232,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('MT', 'TT')",MT,TT,MT,Melania Trump,TT,Tiffany Trump,1
233,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('MT', 'MB')",MT,MB,MT,Melania Trump,MB,Marsha Blackburn,1
234,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('MT', 'MC')",MT,MC,MT,Melania Trump,MC,Mike Crapo,1
235,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('MT', 'DF')",MT,DF,MT,Melania Trump,DF,Deb Fischer,1
236,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('ML', 'JJ')",ML,JJ,ML,Mike Lee,JJ,John Jenkins,1
237,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('ML', 'KC')",ML,KC,ML,Mike Lee,KC,Kellyanne Conway,1
238,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('ML', 'THOMT')",ML,THOMT,ML,Mike Lee,THOMT,Thom Tillis,1
239,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('ML', 'CC')",ML,CC,ML,Mike Lee,CC,Chris Christie,1
240,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('ML', 'GL')",ML,GL,ML,Mike Lee,GL,Greg Laurie,1
241,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('ML', 'CG')",ML,CG,ML,Mike Lee,CG,Chad Gilmartin,1
242,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('ML', 'KLEAV')",ML,KLEAV,ML,Mike Lee,KLEAV,Karoline Leavitt,1
243,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('ML', 'KM')",ML,KM,ML,Mike Lee,KM,Kayleigh McEnany,1
244,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('ML', 'AD')",ML,AD,ML,Mike Lee,AD,Al Drago,1
245,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('ML', 'ACB')",ML,ACB,ML,Mike Lee,ACB,Amy Coney Barrett,1
246,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('ML', 'WB')",ML,WB,ML,Mike Lee,WB,William Barr,1
247,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('ML', 'MP')",ML,MP,ML,Mike Lee,MP,Mike Pence,1
248,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('ML', 'KP')",ML,KP,ML,Mike Lee,KP,Karen Pence,1
249,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('ML', 'MM')",ML,MM,ML,Mike Lee,MM,Mark Meadows,1
250,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('ML', 'BS')",ML,BS,ML,Mike Lee,BS,Ben Sasse,1
251,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('ML', 'JH')",ML,JH,ML,Mike Lee,JH,Josh Hawley,1
252,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('ML', 'KL')",ML,KL,ML,Mike Lee,KL,Kelly Loeffler,1
253,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('ML', 'PC')",ML,PC,ML,Mike Lee,PC,Pat Cipollone,1
254,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('ML', 'TT')",ML,TT,ML,Mike Lee,TT,Tiffany Trump,1
255,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('ML', 'MB')",ML,MB,ML,Mike Lee,MB,Marsha Blackburn,1
256,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('ML', 'MC')",ML,MC,ML,Mike Lee,MC,Mike Crapo,1
257,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('ML', 'DF')",ML,DF,ML,Mike Lee,DF,Deb Fischer,1
258,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('JJ', 'KC')",JJ,KC,JJ,John Jenkins,KC,Kellyanne Conway,1
259,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('JJ', 'THOMT')",JJ,THOMT,JJ,John Jenkins,THOMT,Thom Tillis,1
260,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('JJ', 'CC')",JJ,CC,JJ,John Jenkins,CC,Chris Christie,1
261,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('JJ', 'GL')",JJ,GL,JJ,John Jenkins,GL,Greg Laurie,1
262,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('JJ', 'CG')",JJ,CG,JJ,John Jenkins,CG,Chad Gilmartin,1
263,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('JJ', 'KLEAV')",JJ,KLEAV,JJ,John Jenkins,KLEAV,Karoline Leavitt,1
264,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('JJ', 'KM')",JJ,KM,JJ,John Jenkins,KM,Kayleigh McEnany,1
265,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('JJ', 'AD')",JJ,AD,JJ,John Jenkins,AD,Al Drago,1
266,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('JJ', 'ACB')",JJ,ACB,JJ,John Jenkins,ACB,Amy Coney Barrett,1
267,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('JJ', 'WB')",JJ,WB,JJ,John Jenkins,WB,William Barr,1
268,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('JJ', 'MP')",JJ,MP,JJ,John Jenkins,MP,Mike Pence,1
269,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('JJ', 'KP')",JJ,KP,JJ,John Jenkins,KP,Karen Pence,1
270,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('JJ', 'MM')",JJ,MM,JJ,John Jenkins,MM,Mark Meadows,1
271,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('JJ', 'BS')",JJ,BS,JJ,John Jenkins,BS,Ben Sasse,1
272,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('JJ', 'JH')",JJ,JH,JJ,John Jenkins,JH,Josh Hawley,1
273,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('JJ', 'KL')",JJ,KL,JJ,John Jenkins,KL,Kelly Loeffler,1
274,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('JJ', 'PC')",JJ,PC,JJ,John Jenkins,PC,Pat Cipollone,1
275,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('JJ', 'TT')",JJ,TT,JJ,John Jenkins,TT,Tiffany Trump,1
276,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('JJ', 'MB')",JJ,MB,JJ,John Jenkins,MB,Marsha Blackburn,1
277,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('JJ', 'MC')",JJ,MC,JJ,John Jenkins,MC,Mike Crapo,1
278,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('JJ', 'DF')",JJ,DF,JJ,John Jenkins,DF,Deb Fischer,1
279,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('KC', 'THOMT')",KC,THOMT,KC,Kellyanne Conway,THOMT,Thom Tillis,1
280,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('KC', 'CC')",KC,CC,KC,Kellyanne Conway,CC,Chris Christie,1
281,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('KC', 'GL')",KC,GL,KC,Kellyanne Conway,GL,Greg Laurie,1
282,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('KC', 'CG')",KC,CG,KC,Kellyanne Conway,CG,Chad Gilmartin,1
283,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('KC', 'KLEAV')",KC,KLEAV,KC,Kellyanne Conway,KLEAV,Karoline Leavitt,1
284,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('KC', 'KM')",KC,KM,KC,Kellyanne Conway,KM,Kayleigh McEnany,1
285,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('KC', 'AD')",KC,AD,KC,Kellyanne Conway,AD,Al Drago,1
286,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('KC', 'ACB')",KC,ACB,KC,Kellyanne Conway,ACB,Amy Coney Barrett,1
287,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('KC', 'WB')",KC,WB,KC,Kellyanne Conway,WB,William Barr,1
288,"['DT', 'MT', 'ML', 'JJ', 'KC', 'THOMT', 'CC', 'GL', 'CG', 'KLEAV', 'KM', 'AD', 'ACB', 'WB', 'MP', 'KP', 'MM', 'BS', 'JH', 'KL', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,Rose Garden nomination ceremony for Amy Coney Barrett,"('KC', 'MP')",KC,MP,KC,Kellyanne Conway,MP,Mike Pence,1
