,ppl,date,event,combination,source_abb,target_abb,abbrev_x,source,abbrev_y,target,weight
33,"['DT', 'RM', 'TR', 'TH', 'TT']",2020-09-25,Fund-raiser at Trump International Hotel in Washington,"('TR', 'TH')",TR,TH,TR,Todd Ricketts,TH,Tommy Hicks Jr.,1
34,"['DT', 'RM', 'TR', 'TH', 'TT']",2020-09-25,Fund-raiser at Trump International Hotel in Washington,"('TR', 'TT')",TR,TT,TR,Todd Ricketts,TT,Tiffany Trump,1
35,"['DT', 'RM', 'TR', 'TH', 'TT']",2020-09-25,Fund-raiser at Trump International Hotel in Washington,"('TH', 'TT')",TH,TT,TH,Tommy Hicks Jr.,TT,Tiffany Trump,1
36,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('DT', 'MT')",DT,MT,DT,Donald Trump,MT,Melania Trump,1
37,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('DT', 'CC')",DT,CC,DT,Donald Trump,CC,Chris Christie,1
38,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('DT', 'THOMT')",DT,THOMT,DT,Donald Trump,THOMT,Thom Tillis,1
39,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('DT', 'ML')",DT,ML,DT,Donald Trump,ML,Mike Lee,1
40,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('DT', 'JJ')",DT,JJ,DT,Donald Trump,JJ,John Jenkins,1
41,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('DT', 'ACB')",DT,ACB,DT,Donald Trump,ACB,Amy Coney Barrett,1
42,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('DT', 'MM')",DT,MM,DT,Donald Trump,MM,Mark Meadows,1
43,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('DT', 'WB')",DT,WB,DT,Donald Trump,WB,William Barr,1
44,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('DT', 'AA')",DT,AA,DT,Donald Trump,AA,Alex Azar,1
45,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('DT', 'JH')",DT,JH,DT,Donald Trump,JH,Josh Hawley,1
46,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('DT', 'KL')",DT,KL,DT,Donald Trump,KL,Kelly Loeffler,1
47,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('DT', 'BS')",DT,BS,DT,Donald Trump,BS,Ben Sasse,1
48,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('DT', 'PC')",DT,PC,DT,Donald Trump,PC,Pat Cipollone,1
